,User,Location,Tweet,Tweet_clean,Tweet_token,Tweet_nonstop
0,astrologymagic_,space,I thought based on geographical location thats what determined a country but yeah my point still because in China they have skin lightening and they all want to be lighter why in the lighter are put in the media too,I thought based on geographical location thats what determined a country but yeah my point still because in China they have skin lightening and they all want to be lighter why in the lighter are put in the media too,"['i', 'thought', 'based', 'on', 'geographical', 'location', 'thats', 'what', 'determined', 'a', 'country', 'but', 'yeah', 'my', 'point', 'still', 'because', 'in', 'china', 'they', 'have', 'skin', 'lightening', 'and', 'they', 'all', 'want', 'to', 'be', 'lighter', 'why', 'in', 'the', 'lighter', 'are', 'put', 'in', 'the', 'media', 'too']","['thought', 'based', 'geographical', 'location', 'thats', 'determined', 'country', 'yeah', 'point', 'still', 'china', 'skin', 'lightening', 'want', 'lighter', 'lighter', 'put', 'media']"
1,909Beleni,Jumping in Saturn's rings,cerisenoire8 is someone doing that to you That so weird like Whats the point why you someone do that,cerisenoire8 is someone doing that to you That so weird like Whats the point why you someone do that,"['cerisenoire8', 'is', 'someone', 'doing', 'that', 'to', 'you', 'that', 'so', 'weird', 'like', 'whats', 'the', 'point', 'why', 'you', 'someone', 'do', 'that']","['cerisenoire8', 'someone', 'weird', 'like', 'whats', 'point', 'someone']"
2,nlebowitz1,"Boston, MA",wiz I wish I could read this thread but one of the who can view their Whats even the point of twitter Just use a private messenger,wiz I wish I could read this thread but one of the who can view their Whats even the point of twitter Just use a private messenger,"['wiz', 'i', 'wish', 'i', 'could', 'read', 'this', 'thread', 'but', 'one', 'of', 'the', 'who', 'can', 'view', 'their', 'whats', 'even', 'the', 'point', 'of', 'twitter', 'just', 'use', 'a', 'private', 'messenger']","['wiz', 'wish', 'could', 'read', 'thread', 'one', 'view', 'whats', 'even', 'point', 'twitter', 'use', 'private', 'messenger']"
3,Gleann_lucha,Scotland / North West / London,If you genuinely about young forget it whats the point,If you genuinely about young forget it whats the point,"['if', 'you', 'genuinely', 'about', 'young', 'forget', 'it', 'whats', 'the', 'point']","['genuinely', 'young', 'forget', 'whats', 'point']"
4,Springbok1066,,BobKav3 So whats your point you Knob you are agreeing with my initial statement that the is currently and not fit for purpose me youve been hard work,BobKav3 So whats your point you Knob you are agreeing with my initial statement that the is currently and not fit for purpose me youve been hard work,"['bobkav3', 'so', 'whats', 'your', 'point', 'you', 'knob', 'you', 'are', 'agreeing', 'with', 'my', 'initial', 'statement', 'that', 'the', 'is', 'currently', 'and', 'not', 'fit', 'for', 'purpose', 'me', 'youve', 'been', 'hard', 'work']","['bobkav3', 'whats', 'point', 'knob', 'agreeing', 'initial', 'statement', 'currently', 'fit', 'purpose', 'youve', 'hard', 'work']"
5,softieseulgom,♒︎ • lesbian ,if no one turns just three by into a movie then whats the point of life,if no one turns just three by into a movie then whats the point of life,"['if', 'no', 'one', 'turns', 'just', 'three', 'by', 'into', 'a', 'movie', 'then', 'whats', 'the', 'point', 'of', 'life']","['one', 'turns', 'three', 'movie', 'whats', 'point', 'life']"
6,Ashyy62315349,,If my next is not like then whats the point,If my next is not like then whats the point,"['if', 'my', 'next', 'is', 'not', 'like', 'then', 'whats', 'the', 'point']","['next', 'like', 'whats', 'point']"
7,jimbings,Rainbow Rhythms,Whats the point in this Resignation effective from the day he no longer the position anyway due to a new administration,Whats the point in this Resignation effective from the day he no longer the position anyway due to a new administration,"['whats', 'the', 'point', 'in', 'this', 'resignation', 'effective', 'from', 'the', 'day', 'he', 'no', 'longer', 'the', 'position', 'anyway', 'due', 'to', 'a', 'new', 'administration']","['whats', 'point', 'resignation', 'effective', 'day', 'longer', 'position', 'anyway', 'due', 'new', 'administration']"
8,yashmishra12,India,hardikpandya7 krunalpandya24 If you have already them and expressed your grief whats the point of publicly it,hardikpandya7 krunalpandya24 If you have already them and expressed your grief whats the point of publicly it,"['hardikpandya7', 'krunalpandya24', 'if', 'you', 'have', 'already', 'them', 'and', 'expressed', 'your', 'grief', 'whats', 'the', 'point', 'of', 'publicly', 'it']","['hardikpandya7', 'krunalpandya24', 'already', 'expressed', 'grief', 'whats', 'point', 'publicly']"
9,ADragonDemands,NYC,Excellent ser This is for they mention what like At this point weve had in all colors of the purple I was for purple Or with purple thats the color Id want,Excellent ser This is for they mention what like At this point weve had in all colors of the purple I was for purple Or with purple thats the color Id want,"['excellent', 'ser', 'this', 'is', 'for', 'they', 'mention', 'what', 'like', 'at', 'this', 'point', 'weve', 'had', 'in', 'all', 'colors', 'of', 'the', 'purple', 'i', 'was', 'for', 'purple', 'or', 'with', 'purple', 'thats', 'the', 'color', 'id', 'want']","['excellent', 'ser', 'mention', 'like', 'point', 'weve', 'colors', 'purple', 'purple', 'purple', 'thats', 'color', 'id', 'want']"
